point,path,cost,count,checking_edges,waypoints_of_llm,waypoints_using_llm
"(6800558, 6800715)","[6800558, 6800557, 6800556, 6806357, 6800555, 6800554, 6800508, 6800507, 6800361, 6800417, 6800478, 6800477, 6800505, 6800504, 6800503, 6800502, 6800501, 6801276, 6800500, 6800499, 6801840, 6800498, 6800497, 6800492, 6800491, 6801278, 6800489, 6805632, 6800240, 6805636, 6801803, 6800239, 6805638, 6805637, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6801806, 6801010, 6801009, 6800990, 6801839, 6801007, 6801006, 6801005, 6801004, 6801003, 6801002, 6800703, 6805641, 6800997, 6800702, 6800706, 6800707, 6801267, 6800709, 6802322, 6800715]",92,2662,2555,,
"(6801106, 6800394)","[6801106, 6800890, 6801983, 6800905, 6800906, 6800314, 6800313, 6800312, 6800320, 6800319, 6801241, 6806358, 6806361, 6800948, 6800032, 6800033, 6801232, 6800034, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6802331, 6800247, 6800246, 6805639, 6800245, 6801804, 6800244, 6805633, 6805631, 6801277, 6800488, 6800487, 6800579, 6800485, 6801841, 6800484, 6800483, 6801275, 6800482, 6800481, 6800480, 6805634, 6800479, 6800470, 6800469, 6800384, 6800385, 6800386, 6800387, 6800388, 6800389, 6805646, 6800391, 6800392, 6806188, 6806189, 6801118, 6800393, 6800394]",92,2996,2891,,
"(6805589, 6800799)","[6805589, 6800914, 6800913, 6800912, 6801194, 6800911, 6800910, 6800424, 6800423, 6800422, 6800421, 6800420, 6800419, 6800418, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800340, 6800339, 6800338, 6800160, 6801208, 6801849, 6801139, 6801799, 6800165, 6800006, 6805261, 6801864, 6806334, 6802350, 6806333, 6806332, 6801909, 6805621, 6800055, 6801055, 6801056, 6801057, 6801289, 6801051, 6800763, 6801294, 6800765, 6800766, 6800767, 6800768, 6800769, 6800770, 6801216, 6800798, 6800799]",77,2887,2744,,
"(6802324, 6806003)","[6802324, 6801495, 6805668, 6801889, 6801885, 6801882, 6801880, 6801878, 6801906, 6801863, 6805261, 6800006, 6800136, 6800005, 6800004, 6800748, 6800002, 6800001, 6801485, 6800075, 6800105, 6800103, 6800327, 6806003]",40,1958,1845,,
"(6800463, 6801855)","[6800463, 6800473, 6800472, 6800475, 6800474, 6800356, 6800355, 6800354, 6800353, 6800352, 6800351, 6800337, 6800350, 6800336, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800341, 6800154, 6800383, 6801208, 6801849, 6801139, 6801799, 6800165, 6801848, 6800149, 6800041, 6805260, 6801862, 6801860, 6802399, 6801859, 6801857, 6801871, 6801855]",50,1332,1287,,
"(6800850, 6800875)","[6800850, 6800849, 6800842, 6801426, 6800841, 6800840, 6805535, 6800839, 6800838, 6800837, 6800798, 6801216, 6800770, 6800769, 6800768, 6800767, 6800766, 6800765, 6801294, 6800763, 6801051, 6801289, 6801057, 6801062, 6801068, 6801069, 6801070, 6801071, 6801149, 6801875, 6800031, 6806274, 6800947, 6800948, 6806361, 6806358, 6801241, 6800319, 6800320, 6800312, 6800313, 6800314, 6806319, 6806320, 6806321, 6800866, 6805594, 6800867, 6800868, 6800869, 6801226, 6800870, 6800871, 6800872, 6800873, 6800874, 6800875]",99,2621,2518,,
"(6800235, 6805814)","[6800235, 6800236, 6800237, 6801802, 6800238, 6800239, 6805638, 6805637, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6805260, 6801865, 6801867, 6801816, 6800031, 6801875, 6801149, 6805706, 6801172, 6806306, 6806305, 6806304, 6801842, 6805814]",75,2379,2267,,
"(6800855, 6806318)","[6800855, 6801418, 6800816, 6800817, 6800818, 6801417, 6800819, 6800820, 6800803, 6800804, 6801219, 6800801, 6800800, 6800799, 6800798, 6801216, 6800770, 6800769, 6800768, 6800767, 6800766, 6800765, 6801294, 6800763, 6801051, 6801289, 6801057, 6801062, 6801068, 6801069, 6801070, 6801071, 6801165, 6801874, 6800016, 6806275, 6806315, 6806318]",71,1192,1154,,
"(6806362, 6800503)","[6806362, 6800222, 6800223, 6802329, 6800224, 6800225, 6800226, 6800256, 6800257, 6800258, 6800259, 6800907, 6800260, 6802330, 6800261, 6805637, 6805638, 6800239, 6801803, 6805636, 6800240, 6805632, 6800489, 6801278, 6800491, 6800492, 6800497, 6800498, 6801840, 6800499, 6800500, 6801276, 6800501, 6800502, 6800503]",34,1831,1755,,
"(6800226, 6805642)","[6800226, 6800225, 6800224, 6802329, 6800223, 6800222, 6801050, 6800041, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6801806, 6801010, 6801009, 6800990, 6801839, 6801007, 6801006, 6801005, 6801004, 6801003, 6801002, 6800703, 6805641, 6800704, 6805642]",31,1433,1375,,
"(6801820, 6801865)","[6801820, 6801821, 6801867, 6801865]",5,38,38,,
"(6800824, 6806258)","[6800824, 6800823, 6800822, 6801851, 6801015, 6805667, 6802354, 6801845, 6802311, 6802363, 6802358, 6801163, 6801843, 6805696, 6806258]",35,355,336,,
"(6800961, 6800821)","[6800961, 6800962, 6806273, 6800755, 6800756, 6800963, 6800964, 6800965, 6800757, 6802367, 6801057, 6801289, 6801051, 6800763, 6801294, 6800765, 6800766, 6800767, 6800768, 6800769, 6800770, 6801216, 6800798, 6800799, 6800800, 6800801, 6801218, 6800802, 6800821]",50,2588,2479,,
"(6800915, 6800293)","[6800915, 6801195, 6805589, 6800914, 6800913, 6800912, 6801194, 6800911, 6800910, 6800424, 6800423, 6800422, 6800421, 6800420, 6800419, 6800418, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800340, 6800339, 6800338, 6800160, 6801208, 6801849, 6801139, 6801799, 6800165, 6800006, 6800007, 6801047, 6800293]",51,2097,1992,,
"(6806251, 6800241)","[6806251, 6800733, 6805700, 6800734, 6800735, 6800736, 6805534, 6800133, 6802319, 6800132, 6800131, 6800130, 6801297, 6801908, 6801909, 6806332, 6806333, 6802350, 6802399, 6801860, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6805637, 6805638, 6800239, 6801803, 6805636, 6800240, 6800241]",60,2400,2281,,
"(6800764, 6800910)","[6800764, 6800793, 6800742, 6801288, 6806345, 6805532, 6801167, 6805808, 6801070, 6801071, 6801165, 6801874, 6800016, 6801817, 6801866, 6801864, 6805261, 6800006, 6800165, 6801799, 6801139, 6801849, 6801208, 6800160, 6800338, 6800339, 6800340, 6800342, 6800343, 6800344, 6800345, 6800346, 6800347, 6800348, 6800335, 6800418, 6800419, 6800420, 6800421, 6800422, 6800423, 6800424, 6800910]",62,2494,2359,,
"(6801111, 6802341)","[6801111, 6801056, 6801057, 6801289, 6805667, 6800742, 6801044, 6801043, 6801042, 6801896, 6801898, 6802341]",31,1471,1393,,
"(6801157, 6800914)","[6801157, 6800055, 6805621, 6801909, 6806332, 6806333, 6802350, 6806334, 6801864, 6805261, 6800006, 6800165, 6801799, 6801139, 6801849, 6801208, 6800160, 6800338, 6800339, 6800340, 6800342, 6800343, 6800344, 6800345, 6800346, 6800347, 6800348, 6800335, 6800418, 6800419, 6800420, 6800421, 6800422, 6800423, 6800424, 6800910, 6800911, 6801194, 6800912, 6800913, 6800914]",46,2329,2224,,
"(6801007, 6801833)","[6801007, 6801839, 6800990, 6801009, 6801010, 6801806, 6800035, 6800034, 6801232, 6800033, 6800032, 6800948, 6800947, 6806274, 6800031, 6801875, 6801149, 6801071, 6801070, 6801054, 6801490, 6801833]",31,1255,1197,,
"(6801843, 6801875)","[6801843, 6806309, 6806308, 6806307, 6801146, 6801145, 6800626, 6801165, 6801071, 6801149, 6801875]",15,117,117,,
"(6805520, 6801491)","[6805520, 6805518, 6800054, 6801903, 6801491]",6,91,91,,
"(6800477, 6805703)","[6800477, 6800476, 6800475, 6800474, 6800356, 6800355, 6800354, 6800353, 6800352, 6800351, 6800337, 6800350, 6800336, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800341, 6800154, 6800383, 6801208, 6801849, 6801139, 6801799, 6800165, 6800006, 6805261, 6801864, 6806334, 6802350, 6806333, 6806332, 6801909, 6800129, 6800054, 6805518, 6805520, 6805684, 6805675, 6805627, 6805703]",60,1997,1906,,
"(6800313, 6800097)","[6800313, 6800314, 6900906, 6800307, 6800308, 6800309, 6801244, 6800322, 6800863, 6800094, 6800095, 6800096, 6806240, 6800097]",32,744,741,,
"(6801885, 6800626)","[6801885, 6801882, 6801880, 6801878, 6801906, 6801863, 6801865, 6801867, 6801816, 6800031, 6801875, 6801149, 6801071, 6801165, 6800626]",16,515,482,,
"(6805815, 6805535)","[6805815, 6801843, 6801163, 6802358, 6802363, 6802311, 6801845, 6802354, 6805667, 6801015, 6801051, 6800763, 6801294, 6800765, 6800766, 6800767, 6800768, 6800769, 6800770, 6801216, 6800798, 6800837, 6800838, 6800839, 6805535]",45,1991,1893,,
"(6800307, 6800313)","[6800307, 6900906, 6800314, 6800313]",10,55,55,,
"(6801860, 6800992)","[6801860, 6801862, 6805260, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6801806, 6801010, 6801009, 6800990, 6800991, 6800992]",39,2261,2151,,
"(6801874, 6800443)","[6801874, 6800016, 6801817, 6801866, 6801864, 6805261, 6800006, 6800165, 6800216, 6800636, 6800214, 6800213, 6800212, 6801204, 6800441, 6801203, 6800442, 6800443]",30,1745,1652,,
"(6802363, 6800252)","[6802363, 6802358, 6801163, 6801843, 6806309, 6806308, 6806307, 6801146, 6801145, 6800626, 6801165, 6801874, 6800016, 6801817, 6801866, 6801864, 6805261, 6800006, 6800165, 6800216, 6800636, 6801011, 6800255, 6800254, 6800253, 6800252]",43,1790,1724,,
"(6800631, 6801114)","[6800631, 6800630, 6800629, 6800628, 6800133, 6805534, 6800736, 6800735, 6800734, 6805700, 6800733, 6806251, 6800065, 6801286, 6801114]",21,78,78,,
"(6800350, 6801835)","[6800350, 6800336, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800341, 6800154, 6800383, 6801208, 6801849, 6801139, 6801799, 6800165, 6800006, 6805261, 6801864, 6806334, 6802350, 6801835]",38,1313,1262,,
"(6801168, 6801912)","[6801168, 6800054, 6800129, 6801909, 6806332, 6806333, 6802350, 6806334, 6801864, 6805261, 6800006, 6800165, 6800216, 6801912]",28,1340,1275,,
"(6805679, 6800678)","[6805679, 6801164, 6805677, 6802314, 6802312, 6802311, 6801845, 6802354, 6805667, 6801289, 6801057, 6801062, 6802408, 6802406, 6802404, 6805684, 6805520, 6805518, 6801910, 6802324, 6801211, 6801260, 6805486, 6800126, 6800125, 6802320, 6800124, 6800679, 6800678]",47,1915,1821,,
"(6800611, 6800990)","[6800611, 6800610, 6805531, 6800516, 6801017, 6801016, 6801015, 6801051, 6801289, 6801057, 6801062, 6801068, 6801069, 6801070, 6801071, 6801149, 6801875, 6800031, 6806274, 6800947, 6800948, 6800032, 6800033, 6801232, 6800034, 6800035, 6801806, 6801010, 6801009, 6800990]",51,1648,1548,,
"(6800756, 6905612)","[6800756, 6800755, 6806273, 6800962, 6800961, 6800950, 6800949, 6806360, 6806359, 6800114, 6800322, 6801244, 6800309, 6800308, 6800307, 6806322, 6800905, 6800904, 6800903, 6800902, 6905614, 6905615, 6905612]",47,2413,2304,,
"(6801852, 6800146)","[6801852, 6800898, 6805614, 6805617, 6800902, 6800903, 6800904, 6800905, 6800906, 6800314, 6800313, 6800312, 6800320, 6800319, 6801241, 6806358, 6806361, 6800948, 6800032, 6800033, 6801232, 6800034, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6801050, 6800146]",57,1157,1123,,
"(6800258, 6802396)","[6800258, 6800259, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6805260, 6801862, 6801860, 6802399, 6802350, 6806333, 6806332, 6801909, 6805621, 6800055, 6801055, 6801056, 6801057, 6801289, 6802396]",42,2109,2010,,
"(6800583, 6800484)","[6800583, 6805488, 6800584, 6800585, 6802328, 6806271, 6800069, 6801287, 6801059, 6801095, 6801058, 6801288, 6806345, 6805532, 6801167, 6805808, 6801070, 6801071, 6801149, 6801875, 6800031, 6801816, 6801867, 6801865, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6802331, 6800247, 6800246, 6805639, 6800245, 6801804, 6800244, 6805633, 6805631, 6801277, 6800488, 6800487, 6800579, 6800485, 6801841, 6800484]",95,2659,2551,,
"(6801042, 6800695)","[6801042, 6801043, 6801044, 6800742, 6805667, 6801289, 6801057, 6801062, 6802408, 6802406, 6802404, 6805684, 6805520, 6805518, 6801910, 6802324, 6801211, 6801260, 6805486, 6800126, 6800125, 6802320, 6800695]",42,1479,1406,,
"(6805518, 6805669)","[6805518, 6800054, 6801903, 6801917, 6801295, 6801179, 6801907, 6805669]",11,423,404,,
"(6800619, 6801496)","[6800619, 6800620, 6800517, 6800553, 6801042, 6801043, 6801044, 6800742, 6805667, 6801289, 6801057, 6801056, 6801055, 6800055, 6801904, 6801496]",32,581,556,,
"(6801839, 6801075)","[6801839, 6801007, 6801006, 6801005, 6801004, 6801003, 6801002, 6800703, 6805641, 6800704, 6805642, 6805648, 6800999, 6800701, 6800700, 6801266, 6800714, 6802321, 6801075]",17,228,225,,
"(6806316, 6801059)","[6806316, 6806274, 6800031, 6801875, 6801149, 6801071, 6801070, 6805808, 6801167, 6805532, 6806345, 6801288, 6801058, 6801095, 6801059]",25,1356,1295,,
"(6800760, 6800264)","[6800760, 6800951, 6800952, 6800953, 6800761, 6800762, 6806272, 6800954, 6800955, 6800947, 6806274, 6801817, 6801866, 6801864, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6802331, 6800247, 6800246, 6805639, 6800245, 6800263, 6801801, 6800264]",52,2460,2324,,
"(6800605, 6800286)","[6800605, 6800014, 6800013, 6802316, 6801231, 6800011, 6800010, 6800148, 6800037, 6800038, 6800008, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286]",29,1328,1278,,
"(6800897, 6805491)","[6800897, 6800896, 6800895, 6800894, 6800864, 6800906, 6800314, 6800313, 6800312, 6800320, 6800319, 6801241, 6806358, 6806361, 6800948, 6800947, 6806274, 6800031, 6801875, 6801149, 6801071, 6801070, 6801069, 6801068, 6801062, 6802408, 6801112, 6801113, 6801114, 6801286, 6800065, 6806269, 6802327, 6800725, 6800726, 6800727, 6800728, 6800729, 6800730, 6800731, 6805491]",104,2995,2873,,
"(6800108, 6806256)","[6800108, 6800109, 6800315, 6806239, 6800974, 6800316, 6802394, 6802392, 6802390, 6806336, 6806338, 6805815, 6801843, 6805696, 6806258, 6805694, 6806256]",33,822,808,,
"(6801841, 6805532)","[6801841, 6800485, 6800579, 6800487, 6800488, 6801277, 6805631, 6805633, 6800244, 6801804, 6800245, 6805639, 6800246, 6800247, 6802331, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6805260, 6801865, 6801867, 6801816, 6800031, 6801875, 6801149, 6801071, 6801070, 6805808, 6801167, 6805532]",50,1731,1647,,
"(6801275, 6802302)","[6801275, 6800483, 6800484, 6801841, 6800485, 6800579, 6800487, 6800488, 6801277, 6805631, 6805633, 6800244, 6801804, 6800245, 6805639, 6800246, 6800247, 6802331, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6805260, 6801862, 6801860, 6802399, 6802350, 6801835, 6802302]",47,1355,1291,,
"(6801017, 6805637)","[6801017, 6801016, 6801015, 6801051, 6801289, 6801057, 6801056, 6801055, 6800055, 6805621, 6801909, 6806332, 6806333, 6802350, 6802399, 6801860, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6805637]",54,2013,1906,,
"(6802346, 6800706)","[6802346, 6800245, 6805639, 6800246, 6800247, 6802331, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6801806, 6801010, 6801009, 6800990, 6801839, 6801007, 6801006, 6801005, 6801004, 6801003, 6801002, 6800703, 6805641, 6800997, 6800702, 6800706]",47,2049,1956,,
"(6800889, 6800356)","[6800889, 6801106, 6800890, 6801983, 6800905, 6800906, 6800314, 6800313, 6800312, 6800320, 6800319, 6800862, 6800113, 6800112, 6800974, 6806239, 6800315, 6800109, 6800108, 6801238, 6800107, 6801138, 6800078, 6800077, 6800076, 6800075, 6801485, 6800001, 6800157, 6800158, 6800159, 6800160, 6800338, 6800339, 6800340, 6800342, 6800343, 6800344, 6800345, 6800346, 6800347, 6800348, 6800335, 6800336, 6800350, 6800337, 6800351, 6800352, 6800353, 6800354, 6800355, 6800356]",73,2472,2379,,
"(6800162, 6800142)","[6800162, 6801208, 6801849, 6801139, 6801799, 6800165, 6801848, 6801013, 6800143, 6800142]",14,378,363,,
"(6800701, 6800227)","[6800701, 6800999, 6805648, 6805642, 6800704, 6805641, 6800703, 6801002, 6801003, 6801004, 6801005, 6801006, 6801007, 6801839, 6800990, 6801009, 6801010, 6801806, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6801050, 6800222, 6800223, 6802329, 6800224, 6800225, 6800226, 6800227]",39,1381,1275,,
"(6805261, 6800653)","[6805261, 6801864, 6806334, 6802350, 6806333, 6806332, 6801909, 6801908, 6801297, 6800130, 6800131, 6800132, 6802319, 6800133, 6800628, 6800629, 6800630, 6800631, 6800632, 6800633, 6800634, 6800635, 6801201, 6800637, 6800638, 6800639, 6800640, 6800641, 6800642, 6800643, 6800644, 6800645, 6801175, 6800647, 6800648, 6800649, 6800650, 6800651, 6800652, 6800653]",80,3135,3026,,
"(6801888, 6800470)","[6801888, 6801884, 6801883, 6801881, 6801879, 6801905, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6802331, 6800247, 6800246, 6805639, 6800245, 6801804, 6800244, 6805633, 6805631, 6801277, 6800488, 6800487, 6800579, 6800485, 6801841, 6800484, 6800483, 6801275, 6800482, 6800481, 6800480, 6805634, 6800479, 6800470]",53,2656,2547,,
"(6802353, 6800010)","[6802353, 6802396, 6801289, 6801057, 6802367, 6800757, 6800965, 6800964, 6800963, 6800756, 6800755, 6806273, 6800962, 6800961, 6800950, 6800949, 6800015, 6800014, 6800013, 6802316, 6801231, 6800011, 6800010]",34,1347,1265,,
"(6801491, 6800096)","[6801491, 6801490, 6801054, 6801053, 6801174, 6801874, 6800016, 6800950, 6800949, 6806360, 6806359, 6800114, 6800322, 6800863, 6800094, 6800095, 6800096]",34,1762,1679,,
"(6801210, 6800485)","[6801210, 6801912, 6800216, 6800636, 6801011, 6800255, 6800254, 6800253, 6800252, 6800251, 6800250, 6801259, 6802332, 6800248, 6802331, 6800247, 6800246, 6805639, 6800245, 6801804, 6800244, 6805633, 6805631, 6801277, 6800488, 6800487, 6800579, 6800485]",29,1327,1274,,
"(6806372, 6806307)","[6806372, 6800366, 6800365, 6800468, 6800474, 6800356, 6800355, 6800354, 6800353, 6800352, 6800351, 6800337, 6800350, 6800336, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800340, 6800339, 6800338, 6800160, 6801208, 6801849, 6801139, 6801799, 6800165, 6800006, 6805261, 6801864, 6801866, 6801817, 6800016, 6801874, 6801165, 6800626, 6801145, 6801146, 6806307]",59,1693,1638,,
"(6800822, 6800881)","[6800822, 6801851, 6801015, 6801051, 6801289, 6801057, 6802367, 6800757, 6800965, 6800964, 6800963, 6800756, 6800755, 6806273, 6800962, 6800961, 6800950, 6800949, 6806360, 6806359, 6800114, 6800322, 6801244, 6800309, 6800308, 6800307, 6800893, 6800892, 6800891, 6800890, 6801106, 6800889, 6800888, 6800887, 6800886, 6800885, 6800884, 6800883, 6800882, 6800881]",82,2928,2798,,
"(6801264, 6800331)","[6801264, 6801261, 6801075, 6802321, 6800714, 6801266, 6800700, 6800701, 6800999, 6805648, 6805642, 6800704, 6805641, 6800703, 6801002, 6801003, 6801004, 6801005, 6801006, 6801007, 6801839, 6800990, 6801009, 6801010, 6801806, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6800149, 6801848, 6800165, 6801799, 6801139, 6801849, 6801208, 6800381, 6800378, 6800377, 6800376, 6800375, 6800374, 6800373, 6800372, 6800331]",58,2373,2237,,
"(6800494, 6801890)","[6800494, 6800493, 6800492, 6800491, 6801278, 6800489, 6805632, 6800240, 6805636, 6801803, 6800239, 6805638, 6805637, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6805260, 6801862, 6801860, 6801858, 6802400, 6802349, 6801825, 6802351, 6801826, 6801890]",46,1642,1570,,
"(6800686, 6800955)","[6800686, 6800685, 6800308, 6800309, 6801244, 6800322, 6800114, 6806359, 6806360, 6800949, 6800950, 6800016, 6801817, 6806274, 6800947, 6800955]",34,453,450,,
"(6801387, 6801403)","[6801387, 6801349, 6801388, 6801389, 6801309, 6801400, 6801367, 6801398, 6806233, 6801391, 6801382, 6801384, 6801340, 6801361, 6801392, 6801401, 6801328, 6801394, 6801356, 6801383, 6801404, 6802309, 6801403]",44,102,102,,
"(6800784, 6800602)","[6800784, 6800785, 6800786, 6800787, 6805539, 6800788, 6800797, 6801216, 6800770, 6800769, 6800768, 6800767, 6800766, 6800765, 6801294, 6800763, 6801051, 6801289, 6801057, 6801062, 6801068, 6801069, 6801070, 6801071, 6801149, 6801875, 6800031, 6806274, 6800947, 6800948, 6800032, 6800590, 6800604, 6801808, 6800603, 6800602]",71,1521,1442,,
"(6801144, 6800259)","[6801144, 6800007, 6800137, 6801809, 6800138, 6800139, 6802335, 6800226, 6800256, 6800257, 6800258, 6800259]",15,305,296,,
"(6801129, 6800990)","[6801129, 6800443, 6800442, 6801203, 6800441, 6801204, 6800212, 6800213, 6800214, 6800636, 6800216, 6800165, 6801848, 6800149, 6800041, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6801806, 6801010, 6801009, 6800990]",29,877,852,,
"(6800266, 6801111)","[6800266, 6800267, 6800268, 6800269, 6800270, 6800271, 6800272, 6800273, 6800274, 6800253, 6800254, 6800255, 6801011, 6800636, 6800216, 6800165, 6800006, 6805261, 6801864, 6806334, 6802350, 6806333, 6806332, 6801909, 6805621, 6800055, 6801055, 6801056, 6801111]",51,1869,1781,,
"(6800395, 6800935)","[6800395, 6800394, 6800393, 6801118, 6806189, 6806188, 6800392, 6800391, 6805646, 6800389, 6800388, 6800387, 6800386, 6800385, 6800384, 6800624, 6800359, 6802337, 6800358, 6800357, 6800356, 6800355, 6800354, 6800353, 6800352, 6800351, 6800337, 6800350, 6800336, 6800335, 6800418, 6806186, 6800433, 6806190, 6800431, 6800430, 6800429, 6800428, 6800427, 6800426, 6800425, 6800943, 6800942, 6800941, 6800940, 6800939, 6800938, 6800937, 6800936, 6800935]",80,2091,1993,,
"(6802394, 6800846)","[6802394, 6802392, 6802390, 6806336, 6806338, 6805815, 6801843, 6801163, 6802358, 6802363, 6802311, 6801845, 6802354, 6805667, 6801015, 6801051, 6800763, 6801294, 6800765, 6800766, 6800767, 6800768, 6800769, 6800770, 6800795, 6801221, 6800807, 6800848, 6800847, 6800846]",64,2748,2625,,
"(6801864, 6806334)","[6801864, 6806334]",1,4,4,,
"(6800923, 6800631)","[6800923, 6800922, 6800921, 6801197, 6800920, 6800919, 6801196, 6800917, 6800916, 6800915, 6801195, 6805589, 6800914, 6800913, 6800912, 6801194, 6800911, 6800910, 6800424, 6800423, 6800422, 6800421, 6800420, 6800419, 6800418, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800341, 6800154, 6800383, 6801208, 6801849, 6801139, 6801799, 6800165, 6801848, 6800149, 6800041, 6805260, 6801862, 6801860, 6802399, 6802350, 6806333, 6806332, 6801909, 6801908, 6801297, 6800130, 6800131, 6800132, 6802319, 6800133, 6800628, 6800629, 6800630, 6800631]",62,2562,2435,,
"(6800424, 6800404)","[6800424, 6800423, 6800422, 6800421, 6800420, 6800419, 6800418, 6800335, 6800336, 6800350, 6800337, 6800351, 6800352, 6800353, 6800354, 6800355, 6800356, 6800474, 6800475, 6800476, 6800477, 6800478, 6800417, 6800361, 6800507, 6800508, 6800509, 6801230, 6805643, 6805644, 6800402, 6800403, 6800404]",38,1297,1241,,
"(6801261, 6800419)","[6801261, 6801075, 6802321, 6800714, 6801266, 6800700, 6800701, 6800999, 6805648, 6805642, 6800704, 6805641, 6800703, 6801002, 6801003, 6801004, 6801005, 6801006, 6801007, 6801839, 6800990, 6801009, 6801010, 6801806, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6800149, 6801848, 6800165, 6801799, 6801139, 6801849, 6801208, 6800160, 6800338, 6800339, 6800340, 6800342, 6800343, 6800344, 6800345, 6800346, 6800347, 6800348, 6800335, 6800418, 6800419]",54,2141,2016,,
"(6800758, 6800791)","[6800758, 6802367, 6801057, 6801289, 6805667, 6800742, 6800793, 6800764, 6800792, 6800791]",24,1053,1001,,
"(6800792, 6800260)","[6800792, 6800764, 6800793, 6800742, 6801288, 6806345, 6805532, 6801167, 6805808, 6801070, 6801071, 6801149, 6801875, 6800031, 6801816, 6801867, 6801865, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260]",51,1914,1791,,
"(6802335, 6800763)","[6802335, 6800139, 6800138, 6801809, 6800137, 6800007, 6800006, 6805261, 6801864, 6806334, 6802350, 6806333, 6806332, 6801909, 6805621, 6800055, 6801055, 6801056, 6801057, 6801289, 6801051, 6800763]",42,2100,2000,,
"(6805683, 6806347)","[6805683, 6805685, 6802405, 6802407, 6801111, 6801063, 6806347]",11,129,129,,
